scenario,arch_name,test_type,description,load_level,avg_delay_ms,min_delay_ms,max_delay_ms,throughput_mbps,tcp_throughput_mbps,jitter_ms,udp_loss_pct,ping_loss_pct,n_samples
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],100Mbps,0.1073,0.06,0.7717,99.9793,24333.5707,0.1518,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],10Mbps,0.1073,0.06,0.7717,9.999,24333.5707,0.9351,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],50Mbps,0.1073,0.06,0.7717,49.9943,24333.5707,0.1052,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],100Mbps,0.1133,0.088,0.8947,99.9857,22127.2273,0.1502,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],10Mbps,0.1133,0.088,0.8947,9.9987,22127.2273,0.9123,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],50Mbps,0.1133,0.088,0.8947,49.9947,22127.2273,0.2403,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],100Mbps,0.0523,0.033,0.479,99.982,49320.946,0.1074,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],10Mbps,0.0523,0.033,0.479,9.999,49320.946,0.8108,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],50Mbps,0.0523,0.033,0.479,49.9937,49320.946,0.1645,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],100Mbps,0.085,0.0527,0.8833,99.991,28597.6453,0.0477,0.0067,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],10Mbps,0.085,0.0527,0.8833,9.9993,28597.6453,0.8591,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],50Mbps,0.085,0.0527,0.8833,49.9953,28597.6453,0.1158,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],100Mbps,0.0757,0.049,0.4563,99.9887,31336.874,0.0331,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],10Mbps,0.0757,0.049,0.4563,9.999,31336.874,0.9006,0.0,0.0,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],50Mbps,0.0757,0.049,0.4563,49.991,31336.874,0.1311,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],100Mbps,0.1047,0.0797,0.389,99.9873,22735.568,0.0893,0.0167,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],10Mbps,0.1047,0.0797,0.389,9.9987,22735.568,0.9715,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],50Mbps,0.1047,0.0797,0.389,49.9947,22735.568,0.1969,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],100Mbps,0.11,0.0777,0.7203,99.9887,22648.7447,0.0725,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],10Mbps,0.11,0.0777,0.7203,9.9983,22648.7447,0.8527,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],50Mbps,0.11,0.0777,0.7203,49.992,22648.7447,0.182,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],100Mbps,0.0523,0.03,0.7,99.983,48771.4453,0.0686,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],10Mbps,0.0523,0.03,0.7,9.9987,48771.4453,0.7588,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],50Mbps,0.0523,0.03,0.7,49.9963,48771.4453,0.1565,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],100Mbps,0.0527,0.035,0.657,99.9743,44341.2823,0.1868,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],10Mbps,0.0527,0.035,0.657,9.9983,44341.2823,0.8368,0.0,0.0,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],50Mbps,0.0527,0.035,0.657,49.993,44341.2823,0.1626,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],100Mbps,0.1143,0.0753,0.7813,99.99,22208.9747,0.0915,0.0967,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],10Mbps,0.1143,0.0753,0.7813,9.9987,22208.9747,0.8523,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],50Mbps,0.1143,0.0753,0.7813,49.993,22208.9747,0.1981,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],100Mbps,0.1103,0.075,0.613,99.987,22105.3047,0.1021,0.0267,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],10Mbps,0.1103,0.075,0.613,9.9993,22105.3047,0.9509,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],50Mbps,0.1103,0.075,0.613,49.9943,22105.3047,0.1602,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",100Mbps,0.0767,0.0503,0.628,99.9863,27541.823,0.0813,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",10Mbps,0.0767,0.0503,0.628,9.999,27541.823,0.9829,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",50Mbps,0.0767,0.0503,0.628,49.9917,27541.823,0.1523,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→dns1 [leaf1→leaf2, 2hop]",100Mbps,0.0713,0.0467,0.2997,99.9827,30510.75,0.1095,0.07,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→dns1 [leaf1→leaf2, 2hop]",10Mbps,0.0713,0.0467,0.2997,9.999,30510.75,0.719,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→dns1 [leaf1→leaf2, 2hop]",50Mbps,0.0713,0.0467,0.2997,49.9937,30510.75,0.0504,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1→web2 [same-leaf1],100Mbps,0.0537,0.0347,0.7443,99.9877,49455.9463,0.0397,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1→web2 [same-leaf1],10Mbps,0.0537,0.0347,0.7443,9.999,49455.9463,0.7746,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,web1→web2 [same-leaf1],50Mbps,0.0537,0.0347,0.7443,49.9917,49455.9463,0.1362,0.0,0.0,1
