scenario,arch_name,test_type,description,load_level,avg_delay_ms,min_delay_ms,max_delay_ms,throughput_mbps,tcp_throughput_mbps,jitter_ms,udp_loss_pct,ping_loss_pct,n_samples
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],100Mbps,10.705,8.67,12.75,90.635,86.792,0.2117,0.27,0.44,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],10Mbps,9.802,8.67,12.75,9.983,9.143,0.2104,0.3,0.43,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→host1 [3tier→flat],50Mbps,10.468,8.67,12.75,49.132,45.548,0.209,0.29,0.41,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],100Mbps,10.035,8.67,12.75,88.739,84.216,0.2106,0.35,0.42,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],10Mbps,10.706,8.67,12.75,10.157,9.547,0.2093,0.36,0.41,1
3tier,3-Tier Network (Chi nhánh 2),cross,admin1→web1 [3tier→leafspine],50Mbps,9.71,8.67,12.75,49.61,46.916,0.2158,0.24,0.5,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],100Mbps,2.179,1.785,2.625,87.421,86.519,0.2105,0.09,0.13,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],10Mbps,2.179,1.785,2.625,9.851,9.119,0.2291,0.08,0.09,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→admin2 [same-VLAN10],50Mbps,2.138,1.785,2.625,46.685,46.05,0.2115,0.08,0.1,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],100Mbps,2.084,1.785,2.625,91.558,88.632,0.2134,0.07,0.08,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],10Mbps,2.079,1.785,2.625,10.183,9.224,0.211,0.06,0.08,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→guest1 [inter-VLAN],50Mbps,2.187,1.785,2.625,46.837,46.041,0.2224,0.06,0.12,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],100Mbps,2.156,1.785,2.625,90.975,87.071,0.2148,0.1,0.08,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],10Mbps,2.051,1.785,2.625,9.76,8.996,0.2219,0.1,0.08,1
3tier,3-Tier Network (Chi nhánh 2),intra,admin1→lab1 [inter-VLAN],50Mbps,2.09,1.785,2.625,49.597,44.336,0.22,0.06,0.13,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],100Mbps,8.916,7.225,10.625,89.004,85.627,0.1551,0.47,0.54,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],10Mbps,8.098,7.225,10.625,9.947,9.352,0.1458,0.42,0.41,1
flat,Flat Network (Chi nhánh 1),cross,host1→admin1 [flat→3tier],50Mbps,8.78,7.225,10.625,47.871,44.229,0.1531,0.29,0.54,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],100Mbps,8.27,7.225,10.625,86.867,82.122,0.1457,0.51,0.36,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],10Mbps,8.763,7.225,10.625,10.1,9.494,0.1476,0.32,0.35,1
flat,Flat Network (Chi nhánh 1),cross,host1→web1 [flat→leafspine],50Mbps,8.269,7.225,10.625,44.259,42.717,0.144,0.35,0.44,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],100Mbps,0.811,0.68,1.0,87.351,81.633,0.1465,0.2,0.18,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],10Mbps,0.811,0.68,1.0,9.58,9.052,0.1535,0.18,0.14,1
flat,Flat Network (Chi nhánh 1),intra,host1→host2 [intra-flat],50Mbps,0.837,0.68,1.0,44.318,42.12,0.1552,0.17,0.18,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],100Mbps,0.812,0.68,1.0,85.59,86.001,0.145,0.15,0.21,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],10Mbps,0.831,0.68,1.0,9.723,8.872,0.1458,0.16,0.15,1
flat,Flat Network (Chi nhánh 1),intra,host1→host3 [intra-flat],50Mbps,0.825,0.68,1.0,46.367,45.967,0.1482,0.16,0.23,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],100Mbps,8.57,7.48,11.0,99.784,91.331,0.0785,0.28,0.28,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],10Mbps,9.118,7.48,11.0,9.69,9.451,0.0794,0.21,0.25,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→admin1 [leafspine→3tier],50Mbps,8.849,7.48,11.0,47.791,46.069,0.0837,0.25,0.34,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],100Mbps,8.729,7.48,11.0,98.323,97.246,0.0776,0.27,0.32,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],10Mbps,9.002,7.48,11.0,10.484,9.118,0.0792,0.22,0.33,1
leafspine,Leaf-Spine Network (Chi nhánh 3),cross,web1→host1 [leafspine→flat],50Mbps,8.593,7.48,11.0,49.277,46.663,0.0837,0.31,0.35,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",100Mbps,0.876,0.765,1.125,101.929,90.83,0.0808,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",10Mbps,0.928,0.765,1.125,9.597,9.434,0.0794,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→db1 [leaf1→leaf3, 2hop]",50Mbps,0.899,0.765,1.125,49.01,44.949,0.079,0.0,0.0,1
leafspine,Leaf-Spine Network (Chi nhánh 3),intra,"web1→dns1 [leaf1→leaf2, 2hop]",100Mbps,0.869,0.765,1.125,93.981,90.267,0.0808,0.0,0.0,1
