scenario,arch_name,test_type,src_host,dst_ip,description,load_level,bandwidth_target,avg_delay_ms,min_delay_ms,max_delay_ms,ping_loss_pct,throughput_mbps,tcp_throughput_mbps,jitter_ms,udp_loss_pct,timestamp,repeat
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.102,host1→host2 [intra-flat],10Mbps,10M,0.811,0.68,1.0,0.14,9.58,9.052,0.1535,0.18,20260418_004907,3
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.103,host1→host3 [intra-flat],10Mbps,10M,0.831,0.68,1.0,0.15,9.723,8.872,0.1458,0.16,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.2.10.11,host1→admin1 [flat→3tier],10Mbps,10M,8.098,7.225,10.625,0.41,9.947,9.352,0.1458,0.42,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.3.10.11,host1→web1 [flat→leafspine],10Mbps,10M,8.763,7.225,10.625,0.35,10.1,9.494,0.1476,0.32,20260418_004907,3
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.102,host1→host2 [intra-flat],50Mbps,50M,0.837,0.68,1.0,0.18,44.318,42.12,0.1552,0.17,20260418_004907,3
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.103,host1→host3 [intra-flat],50Mbps,50M,0.825,0.68,1.0,0.23,46.367,45.967,0.1482,0.16,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.2.10.11,host1→admin1 [flat→3tier],50Mbps,50M,8.78,7.225,10.625,0.54,47.871,44.229,0.1531,0.29,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.3.10.11,host1→web1 [flat→leafspine],50Mbps,50M,8.269,7.225,10.625,0.44,44.259,42.717,0.144,0.35,20260418_004907,3
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.102,host1→host2 [intra-flat],100Mbps,100M,0.811,0.68,1.0,0.18,87.351,81.633,0.1465,0.2,20260418_004907,3
flat,Flat Network (Chi nhánh 1),intra,host1,10.1.0.103,host1→host3 [intra-flat],100Mbps,100M,0.812,0.68,1.0,0.21,85.59,86.001,0.145,0.15,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.2.10.11,host1→admin1 [flat→3tier],100Mbps,100M,8.916,7.225,10.625,0.54,89.004,85.627,0.1551,0.47,20260418_004907,3
flat,Flat Network (Chi nhánh 1),cross,host1,10.3.10.11,host1→web1 [flat→leafspine],100Mbps,100M,8.27,7.225,10.625,0.36,86.867,82.122,0.1457,0.51,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.10.12,admin1→admin2 [same-VLAN10],10Mbps,10M,2.179,1.785,2.625,0.09,9.851,9.119,0.2291,0.08,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.20.21,admin1→lab1 [inter-VLAN],10Mbps,10M,2.051,1.785,2.625,0.08,9.76,8.996,0.2219,0.1,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.30.31,admin1→guest1 [inter-VLAN],10Mbps,10M,2.079,1.785,2.625,0.08,10.183,9.224,0.211,0.06,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.1.0.101,admin1→host1 [3tier→flat],10Mbps,10M,9.802,8.67,12.75,0.43,9.983,9.143,0.2104,0.3,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),cross,admin1,10.3.10.11,admin1→web1 [3tier→leafspine],10Mbps,10M,10.706,8.67,12.75,0.41,10.157,9.547,0.2093,0.36,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.10.12,admin1→admin2 [same-VLAN10],50Mbps,50M,2.138,1.785,2.625,0.1,46.685,46.05,0.2115,0.08,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.20.21,admin1→lab1 [inter-VLAN],50Mbps,50M,2.09,1.785,2.625,0.13,49.597,44.336,0.22,0.06,20260418_004907,3
3tier,3-Tier Network (Chi nhánh 2),intra,admin1,10.2.30.31,admin1→guest1 [inter-VLAN],50Mbps,50M,2.187,1.785,2.625,0.12,46.837,46.041,0.2224,0.06,20260418_004907,3
