PING 10.3.10.11 (10.3.10.11) 56(84) bytes of data.
64 bytes from 10.3.10.11: icmp_seq=1 ttl=57 time=2.26 ms
64 bytes from 10.3.10.11: icmp_seq=2 ttl=57 time=0.090 ms
64 bytes from 10.3.10.11: icmp_seq=3 ttl=57 time=0.113 ms
64 bytes from 10.3.10.11: icmp_seq=4 ttl=57 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=5 ttl=57 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=6 ttl=57 time=0.102 ms
64 bytes from 10.3.10.11: icmp_seq=7 ttl=57 time=0.099 ms
64 bytes from 10.3.10.11: icmp_seq=8 ttl=57 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=9 ttl=57 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=10 ttl=57 time=0.109 ms
64 bytes from 10.3.10.11: icmp_seq=11 ttl=57 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=12 ttl=57 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=13 ttl=57 time=0.121 ms
64 bytes from 10.3.10.11: icmp_seq=14 ttl=57 time=0.125 ms
64 bytes from 10.3.10.11: icmp_seq=15 ttl=57 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=16 ttl=57 time=0.108 ms
64 bytes from 10.3.10.11: icmp_seq=17 ttl=57 time=0.168 ms
64 bytes from 10.3.10.11: icmp_seq=18 ttl=57 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=19 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=20 ttl=57 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=21 ttl=57 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=22 ttl=57 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=23 ttl=57 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=24 ttl=57 time=0.101 ms
64 bytes from 10.3.10.11: icmp_seq=25 ttl=57 time=0.109 ms
64 bytes from 10.3.10.11: icmp_seq=26 ttl=57 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=27 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=28 ttl=57 time=0.098 ms
64 bytes from 10.3.10.11: icmp_seq=29 ttl=57 time=0.102 ms
64 bytes from 10.3.10.11: icmp_seq=30 ttl=57 time=0.097 ms
64 bytes from 10.3.10.11: icmp_seq=31 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=32 ttl=57 time=0.111 ms
64 bytes from 10.3.10.11: icmp_seq=33 ttl=57 time=0.110 ms
64 bytes from 10.3.10.11: icmp_seq=34 ttl=57 time=0.130 ms
64 bytes from 10.3.10.11: icmp_seq=35 ttl=57 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=36 ttl=57 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=37 ttl=57 time=0.106 ms
